offering_id,name,hotel_class,region_id,type,region,locality
225105,The Peninsula Chicago,5.0,35805,hotel,IL,Chicago
674283,Trump International Hotel & Tower Chicago,5.0,35805,hotel,IL,Chicago
1516481,Waldorf Astoria Chicago,5.0,35805,hotel,IL,Chicago
119382,Inn at Venice Beach,3.0,32655,hotel,CA,Los Angeles
77264,Hilton Garden Inn Los Angeles/Hollywood,3.0,32655,hotel,CA,Los Angeles
248239,Super 8 Los Angeles / Culver City Area,2.0,32655,hotel,CA,Los Angeles
84505,Hollywood Celebrity Hotel,2.0,32655,hotel,CA,Los Angeles
84517,Holiday Inn Express Century City,2.5,32655,hotel,CA,Los Angeles
208191,Four Points by Sheraton Los Angeles International Airport,3.0,32655,hotel,CA,Los Angeles
82491,Airtel Plaza Hotel and Conference Center,3.0,32655,hotel,CA,Los Angeles
119483,Courtyard Los Angeles Century City / Beverly Hills,3.0,32655,hotel,CA,Los Angeles
84555,BEST WESTERN PLUS Carlyle Inn,3.0,32655,hotel,CA,Los Angeles
77888,Hilton Checkers Hotel - Los Angeles,4.0,32655,hotel,CA,Los Angeles
76793,Comfort Inn Near Old Town Pasadena - Eagle Rock,2.0,32655,hotel,CA,Los Angeles
2236331,"The Hotel Wilshire, a Kimpton Hotel",4.0,32655,hotel,CA,Los Angeles
77714,DoubleTree by Hilton Hotel Los Angeles Downtown,3.5,32655,hotel,CA,Los Angeles
81761,DoubleTree by Hilton Hotel San Pedro,3.5,32655,hotel,CA,Los Angeles
77798,Sheraton Los Angeles Downtown Hotel,3.5,32655,hotel,CA,Los Angeles
223049,Radisson Hotel at Los Angeles Airport,3.5,32655,hotel,CA,Los Angeles
84224,Extended Stay America - Los Angeles - LAX Airport,2.0,32655,hotel,CA,Los Angeles
76790,BEST WESTERN PLUS Eagle Rock Inn,,32655,hotel,CA,Los Angeles
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,2.0,32655,hotel,CA,Los Angeles
82682,Courtyard by Marriott Los Angeles Woodland Hills,3.0,32655,hotel,CA,Los Angeles
83988,Sea Rock Inn,2.0,32655,hotel,CA,Los Angeles
223054,Super 8 Motel Los Angeles Downtown,2.0,32655,hotel,CA,Los Angeles
504815,Rodeway Inn Hollywood,2.0,32655,hotel,CA,Los Angeles
1457221,Shelter Hotels Los Angeles,3.0,32655,hotel,CA,Los Angeles
77866,Millennium Biltmore Hotel Los Angeles,3.5,32655,hotel,CA,Los Angeles
84529,Rodeway Inn Los Angeles,2.0,32655,hotel,CA,Los Angeles
235456,Good Nite Inn Sylmar,2.0,32655,hotel,CA,Los Angeles
611195,East West Suites,,32655,hotel,CA,Los Angeles
